0 0 0
0.1 0 0
0.2 0 0
0.3 0 0
0.4 0 0
0.5 0 0
0.6 0 0
0.7 0 0
0.8 0 0
0.9 0 0
1 0 0
1.1 0 0
1.2 0 0
1.3 0 0
1.4 0 0
1.5 0 0
1.6 0 0
1.7 0 0
1.8 0 0
1.9 0 0
2 0 0
2.1 0 0
2.2 0 0
2.3 0 0
2.4 0 0
2.5 0 0
2.6 0 0
2.7 0 0
2.8 0 0
2.9 0 0
3 0 0
3.1 0 0
3.2 0 0
3.3 0 0
3.4 0 0
3.5 0 0
3.6 0 0
3.7 0 0
3.8 0 0
3.9 0 0
4 0 0
4.1 0 0
4.2 0 0
4.3 0 0
4.4 0 0
4.5 0 0
4.6 0 0
4.7 0 0
4.8 0 0
4.9 0 0
5 0 0
5.1 0 0
5.2 0 0
5.3 0 0
5.4 0 0
5.5 0 0
5.6 0 0
5.7 0 0
5.8 0 0
5.9 0 0
6 0 0
6.1 0 0
6.2 0 0
6.3 0 0
6.4 0 0
6.5 0 0
6.6 0 0
6.7 0 0
6.8 0 0
6.9 0 0
7 0 0
7.1 1 0
7.2 1 0
7.3 1 0
7.4 1 0
7.5 1 0
7.6 1 0
7.7 1 0
7.8 1 0
7.9 1 0
8 1 0
8.1 1 0
8.2 1 0
8.3 1 0
8.4 1 0
8.5 1 0
8.6 1 0
8.7 2 0
8.8 3 0
8.9 4 0
9 4 0
9.1 4 0
9.2 4 0
9.3 5 0
9.4 5 0
9.5 5 0
9.6 6 0
9.7 6 0
9.8 6 0
9.9 6 0
10 7 0
10.1 8 0
10.2 8 0
10.3 8 0
10.4 8 0
10.5 8 0
10.6 11 0
10.7 11 0
10.8 10 1
10.9 11 0
11 11 1
11.1 11 0
11.2 12 0
11.3 13 0
11.4 12 1
11.5 12 0
11.6 13 0
11.7 13 1
11.8 13 0
11.9 13 0
12 13 1
12.1 12 1
12.2 13 0
12.3 12 1
12.4 13 0
12.5 13 0
12.6 14 0
12.7 14 0
12.8 14 0
12.9 14 0
13 14 0
13.1 14 0
13.2 14 0
13.3 14 0
13.4 14 0
13.5 15 0
13.6 15 0
13.7 15 1
13.8 16 0
13.9 17 0
14 17 0
14.1 17 0
14.2 17 0
14.3 17 0
14.4 16 1
14.5 17 0
14.6 17 0
14.7 17 0
14.8 17 0
14.9 17 0
15 16 1
15.1 17 0
15.2 15 2
15.3 14 1
15.4 16 0
15.5 16 0
15.6 17 0
15.7 19 0
15.8 20 0
15.9 21 0
16 21 0
16.1 21 0
16.2 23 0
16.3 25 0
16.4 25 0
16.5 25 0
16.6 25 0
16.7 27 0
16.8 28 0
16.9 29 1
17 29 0
17.1 28 1
17.2 29 1
17.3 28 2
17.4 29 0
17.5 30 0
17.6 31 0
17.7 32 0
17.8 32 0
17.9 31 1
18 32 0
18.1 31 1
18.2 31 0
18.3 32 0
18.4 30 2
18.5 31 0
18.6 30 1
18.7 32 0
18.8 29 3
18.9 31 0
19 32 0
19.1 31 1
19.2 30 1
19.3 29 2
19.4 28 1
19.5 29 0
19.6 29 0
19.7 28 1
19.8 28 0
19.9 29 1
20 28 1
20.1 30 0
20.2 30 0
20.3 30 0
20.4 30 0
20.5 30 0
20.6 30 0
20.7 30 1
20.8 30 0
20.9 29 1
21 28 1
21.1 27 1
21.2 30 0
21.3 29 1
21.4 30 0
21.5 29 1
21.6 29 0
21.7 29 0
21.8 29 0
21.9 30 0
22 29 1
22.1 29 0
22.2 29 0
22.3 29 0
22.4 31 0
22.5 30 1
22.6 32 0
22.7 32 0
22.8 33 0
22.9 34 0
23 33 1
23.1 33 0
23.2 33 0
23.3 35 0
23.4 35 0
23.5 35 0
23.6 35 1
23.7 35 0
23.8 35 0
23.9 35 1
24 35 0
24.1 34 1
24.2 35 0
24.3 35 0
24.4 36 0
24.5 36 0
24.6 36 0
24.7 36 0
24.8 36 0
24.9 36 0
25 35 1
25.1 35 0
25.2 36 0
25.3 36 0
25.4 36 0
25.5 36 0
25.6 37 0
25.7 37 0
25.8 37 0
25.9 37 1
26 36 1
26.1 35 1
26.2 36 0
26.3 35 1
26.4 35 0
26.5 36 0
26.6 36 0
26.7 36 0
26.8 38 0
26.9 37 1
27 36 1
27.1 35 1
27.2 35 1
27.3 36 0
27.4 35 1
27.5 34 1
27.6 35 0
27.7 35 0
27.8 33 2
27.9 33 0
28 33 0
28.1 33 1
28.2 33 0
28.3 33 0
28.4 33 0
28.5 34 0
28.6 35 0
28.7 33 2
28.8 33 0
28.9 33 0
29 33 0
29.1 33 0
29.2 33 0
29.3 35 0
29.4 36 0
29.5 37 0
29.6 38 0
29.7 37 1
29.8 37 0
29.9 36 1
30 36 0
30.1 37 0
30.2 36 1
30.3 37 0
30.4 40 0
30.5 40 0
30.6 39 1
30.7 39 0
30.8 40 0
30.9 40 0
31 40 0
31.1 40 0
31.2 40 1
31.3 40 0
31.4 41 0
31.5 42 0
31.6 42 0
31.7 42 0
31.8 42 0
31.9 42 0
32 41 1
32.1 40 1
32.2 41 0
32.3 41 0
32.4 43 0
32.5 42 1
32.6 42 0
32.7 42 0
32.8 40 2
32.9 40 0
33 40 0
33.1 40 0
33.2 40 0
33.3 41 0
33.4 43 0
33.5 43 0
33.6 43 0
33.7 42 1
33.8 44 0
33.9 44 0
34 44 0
34.1 44 0
34.2 43 1
34.3 43 0
34.4 43 0
34.5 44 0
34.6 44 0
34.7 44 0
34.8 44 0
34.9 43 1
35 43 0
35.1 43 0
35.2 43 0
35.3 43 1
35.4 43 0
35.5 42 1
35.6 42 0
35.7 43 0
35.8 44 0
35.9 44 0
36 44 0
36.1 44 0
